description;icao;iata;latitude_deg;longitude_deg
Bellona/Anua Airport;AGGB;BNY;-11.302.222.222.200.000;159.798.333.333
Choiseul Bay Airport;AGGC;CHY;-6.711.944;156.396.111
Ballalae Airport;AGGE;BAS;-6.990.745;155.886.656
Fera/Maringe Airport;AGGF;FRE;-81.075;159.576.996
Honiara International Airport;AGGH;HIR;-94.280.004.501.343;16.005.499.267.578
Babanakira Airport;AGGI;MBU;-97.475.004.196.167;15.983.900.451.660.100
Avu Avu Airport;AGGJ;AVU;-986.833.333.333;160.410.555.556
Ngorangora Airport;AGGK;IRA;-10.449.700.355.500.000;161.897.994.995
Santa Cruz/Graciosa Bay/Luova Airport;AGGL;SCZ;-1.072.029.972.076.410;1.657.949.981.689.450
Munda Airport;AGGM;MUA;-8.327.969.551.086.420;15.726.300.048.828.100
Nusatupe Airport;AGGN;GZO;-809.778.022.766;156.863.998.413
Mono Airport;AGGO;MNY;-7.416.940.212.249.750;15.556.500.244.140.600
Parasi Airport;AGGP;PRS;-9.641.670.227.050.780;1.614.250.030.517.570
Ontong Java Atoll Airstrip;AGGQ;OTV;-5.515;159.527.777.778
Rennell/Tingoa Airport;AGGR;RNL;-11.533.900.260.925.200;16.006.300.354.003.900
Sege Airport;AGGS;EGM;-8.578.889.846.801.750;15.787.600.708.007.800
Santa Ana Airport;AGGT;NNB;-10.847.994;162.454.108
Marau Airport;AGGU;RUS;-9.861.669.540.409.990;160.824.996.948
Suavanao Airport;AGGV;VAO;-7.585.559.844.970.700;1.587.310.028.076.170
Yandina Airport;AGGY;XYA;-9.092.816;15.921.841
Kagua Airport;AGK;AGK;-6.396.388.888.890.000;143.853.611.111
Kaghau Airport;AGKG;KGE;-73.305;157.585
Kukudu Airport;AGKU;KUE;-80.262;15.694.783
Kwailabesi Airport;AGKW;KWS;-8.360.508;160.775.127
Wanigela Airport;AGL;AGL;-93.375;149.155.555.556
Nana Airport;AGNA;NAZ;-106.758;1.622.049
Ringi Cove Airport;AGRC;RIN;-812.639.045.715.332;15.714.300.537.109.300
Ramata Airport;AGRM;RBV;-8.168.060.302.734.370;15.764.300.537.109.300
Tulaghi Heliport;AGTI;TLG;-9.108;160.149.166.667
Argyle Downs Airport;AGY;AGY;-16.514;1.289.245
Hongyuan Airport;AHJ;AHJ;3.253.154;10.235.224
Amchitka Army Airfield;AHT;AHT;513.777.777.778;179.259.166.667
Ambatolhy Airport;AHY;AHY;-20.015.833.333.299.900;45.535
Aiome Airport;AIE;AIE;-5.145.699.978;1.447.307.003
Aiambak Airport;AIH;AIH;-7.342.777.777.779.990;1.412.675
